season,date,home,score,away,replay_str,replay,replay_two
7,"October 13, 2019",London Redcoats,42 - 10,Flip Squad,Replay,https://thehax.pl/forum/powtorki.php?nagranie=7eb6b6d46ddc4d1b8b37e109d2bbe4bc,
7,"October 13, 2019",No Fly Zone,20 - 49,Panama Pandemic,Replay,https://thehax.pl/forum/powtorki.php?nagranie=b518a633f1af4c206941e6f8e40d5df2,
7,"October 17, 2019",Riverside Groundhawks,35 - 28,Vauxhall Vanguard,Replay,https://thehax.pl/forum/powtorki.php?nagranie=3c9e7f1f91cc389a147910e89e603473,
7,"October 17, 2019",Loona Orbits,21 - 3,Havana Hurricanes,Replay,https://thehax.pl/forum/powtorki.php?nagranie=88498e51d31ce9d0e5f9282b2b406a33,
7,"October 17, 2019",London Redcoats,17 - 21,Fairborn Skyhawks,Replay,https://thehax.pl/forum/powtorki.php?nagranie=831e0b55ab909955c893378aab675721,
7,"October 17, 2019",Panama Pandemic,28 - 21,Loonaverse,Replay,https://thehax.pl/forum/powtorki.php?nagranie=60ad32e0263dfc19a75504c5ec1e6571,
7,"October 20, 2019",Riverside Groundhawks,-,Loona Orbits,Replay,https://thehax.pl/forum/powtorki.php?nagranie=eb12307e561470039e2835ae86d4f117,
7,"October 20, 2019",Panama Pandemic,-,London Redcoats,Replay,https://thehax.pl/forum/powtorki.php?nagranie=6a8491f75d07781f66da504f6eae6170,
8,"November 7, 2019",Mexico City Aztecs,7 - 30,Bubble’s Ice Penguins,Replay,https://thehax.pl/forum/powtorki.php?nagranie=6f035d08614b5ad60cbd66396fba364b,
8,"November 7, 2019",Flip Gear,24 - 14,New Jersey Philly Specials,Replay,https://thehax.pl/forum/powtorki.php?nagranie=a2359c27b097d7875ec88e41ba626d20,
8,"November 7, 2019",Incheon Butterflies,28 - 10,Loona Orbits,Replay,https://thehax.pl/forum/powtorki.php?nagranie=ac41b49badb1a2514e191462668433d6,
8,"November 7, 2019",Atlanta Dirty Birds,10 - 21,Loonaverse,Replay,https://thehax.pl/forum/powtorki.php?nagranie=ade6d6177b0360ef63f17487aac16230,
8,"November 7, 2019",Flip Squad,38 - 24,Philly Goblins,Replay,https://thehax.pl/forum/powtorki.php?nagranie=8d0cb33fab35d830f1332f7b2d42c964,
8,"November 7, 2019",Chicago Lions,14 - 20,Panama Pandemic,Replay,https://thehax.pl/forum/powtorki.php?nagranie=03898b89e3f2c42f7ecb355d4e754f59,
8,"November 10, 2019",Loona Orbits,6 - 24,Flip Gear,Replay,https://thehax.pl/forum/powtorki.php?nagranie=51093c5d4a21fa38f5794324175c1c4a,
8,"November 10, 2019",Bubble’s Ice Penguins,7 - 27,New Jersey Philly Specials,Replay,https://thehax.pl/forum/powtorki.php?nagranie=27437021bdb07f4939ccd09ff2060448,
8,"November 10, 2019",Incheon Butterflies,27 - 23,Mexico City Aztecs,Replay,https://thehax.pl/forum/powtorki.php?nagranie=20385e4c53f32a8db9170ac9c9d1af38,
8,"November 10, 2019",Panama Pandemic,34 - 17,Atlanta Dirty Birds,Replay,https://thehax.pl/forum/powtorki.php?nagranie=1e5e872e0d35281cd6047670e428eb11,
8,"November 10, 2019",Philly Goblins,0 - 28,Loonaverse,Replay,https://thehax.pl/forum/powtorki.php?nagranie=a4b0e30ee6d4eacfcdde304673857e45,
